City,State,Price,lon,lat
Naples,FL,33376.08,-81.7948103,26.1420358
San Marino,CA,10199.93,12.457777,43.94236
Glen Head,NY,8951.21,-73.6237388,40.8353776
Los Altos,CA,7703.17,-122.1141298,37.3852183
Manhasset,NY,7576.58,-73.6995749,40.7978787
Greenwich,CT,6907.17,-0.0076589,51.4825766
Palo Alto,CA,6843.42,-122.1430195,37.4418834
Santa Barbara,CA,6507.08,-119.6981901,34.4208305
Newport Beach,CA,6191.25,-117.9298493,33.6188829
Great Neck,NY,5845.12,-73.7284647,40.8006567
Menlo Park,CA,5620.34,-122.1817252,37.4529598
North Castle,NY,5579.83,-73.6889378,41.1361412
Pelham,NY,5355.33,-73.8079111,40.9098215
Scarsdale,NY,5144,-73.7845768,41.0050977
San Francisco,CA,5012.55,-122.4194155,37.7749295
Redondo Beach,CA,4246.33,-118.3884078,33.8491816
San Mateo,CA,4104.6,-122.3255254,37.5629917
Wilmington,DE,4042.25,-77.9447102,34.2257255
Princeton,NJ,4008.67,-74.6514481,40.3439888
Sunnyvale,CA,3854.8,-122.0363496,37.36883
Town of Bedford,NY,3620.83,-73.6437397,41.204262
Fremont,CA,3547.5,-121.9885719,37.5482697
Libertyville,IL,3387.33,-87.9531303,42.2830786
San Jose,CA,3333.76,-121.8863286,37.3382082
Los Angeles,CA,3229.63,-118.2436849,34.0522342
Irvine,CA,3170.46,-117.8265049,33.6845673
Glendale,CA,3131.96,-118.255075,34.1425078
Miami Beach,FL,3089.74,-80.1300455,25.790654
Thousand Oaks,CA,3018.83,-118.8375937,34.1705609
Torrance,CA,3009.07,-118.3406288,33.8358492
Massapequa,NY,2941.42,-73.4742914,40.6806563
Smithtown,NY,2933.25,-73.2006687,40.8559314
Arlington,VA,2921.41,-77.1067698,38.8799697
Oakland,CA,2908.43,-122.2711137,37.8043637
Bellevue,WA,2875,-122.2015159,47.6101497
Pasadena,CA,2844.06,-118.1445155,34.1477849
Ramapo,NY,2804.32,-74.1746234,41.0815079
Stamford,CT,2793.9,-73.5387341,41.0534302
