"State","Price"
"DE",4042.25
"CA",2836.58
"DC",2703.98
"NY",2269.65
"MA",2158.53
"WA",2075.15
"CO",2059.07
"AK",2028.13
"VA",1941.84
"CT",1929.7
"OR",1899.53
"NJ",1869.4
"ME",1821.22
"IL",1713.13
"GA",1644.52
"FL",1610.12
"MN",1582.84
"TN",1552.32
"UT",1521.03
"TX",1507.1
"RI",1469.84
"MD",1405.02
"LA",1373.36
"NC",1367.56
"NH",1357.21
"AZ",1346.55
"PA",1332
"NV",1303.21
"VT",1289.33
"WI",1281.38
"ID",1275.09
"NM",1267.68
"MT",1259.41
"NE",1190.46
"IA",1170.78
"KY",1102.66
"OK",1066.3
"AR",1063.13
"SC",1026.63
"OH",1013.67
"MO",958.59
"IN",948.24
"KS",930.14
"MI",926.39
"MS",899.47
